Iteration	Est.Rel.Err.	sigma_11	sigma_22	sigma_33	sigma_12	sigma_13	sigma_23
0	1	8.65385	8.65385	20.166	-6.08178e-08	-0.00264467	-0.0027384
1	1	8.65385	8.65385	20.166	-3.97267e-08	-0.00264462	-0.0027384
2	1	8.65385	8.65385	20.166	-3.54881e-08	-0.00264461	-0.00273833
3	1	8.65385	8.65385	20.166	-3.81827e-08	-0.00264441	-0.00273831
4	1	8.65385	8.65385	20.166	-4.89361e-08	-0.00264441	-0.00273829
5	1	8.65385	8.65385	20.166	-4.84065e-08	-0.00264444	-0.0027382
6	1	8.65385	8.65385	20.166	-2.9103e-08	-0.00264444	-0.00273818
7	1	8.65385	8.65385	20.166	-4.98577e-08	-0.00264452	-0.00273828
8	1	8.65385	8.65385	20.166	-3.87769e-08	-0.00264446	-0.00273841
9	1	8.65385	8.65385	20.166	-4.8145e-08	-0.00264448	-0.00273842
10	1	8.65385	8.65385	20.166	-4.94682e-08	-0.0026445	-0.0027384
11	1	8.65385	8.65385	20.166	-3.83948e-08	-0.00264449	-0.00273831
12	1	8.65385	8.65385	20.166	-5.22885e-08	-0.00264456	-0.00273842
13	1	8.65385	8.65385	20.166	-4.21175e-08	-0.0026445	-0.00273843
14	1	8.65385	8.65385	20.166	-4.93175e-08	-0.00264446	-0.00273839
15	1	8.65385	8.65385	20.166	-2.86731e-08	-0.00264442	-0.00273829
16	1	8.65385	8.65385	20.166	-3.05018e-08	-0.00264437	-0.00273833
17	1	8.65385	8.65385	20.166	-2.57016e-08	-0.00264437	-0.00273829
18	1	8.65385	8.65385	20.166	-2.76262e-08	-0.00264439	-0.00273828
19	1	8.65385	8.65385	20.166	-9.31988e-09	-0.00264432	-0.00273821
20	1	8.65385	8.65385	20.166	-1.39842e-08	-0.00264439	-0.0027382
21	1	8.65385	8.65385	20.166	-2.16336e-08	-0.00264441	-0.00273821
22	1	8.65385	8.65385	20.166	-2.59106e-08	-0.0026444	-0.00273816
23	1	8.65385	8.65385	20.166	-2.93369e-08	-0.00264435	-0.00273816
24	1	8.65385	8.65385	20.166	-1.71441e-08	-0.00264437	-0.00273813
25	1	8.65385	8.65385	20.166	-1.66536e-08	-0.00264435	-0.00273812
26	1	8.65385	8.65385	20.166	-2.4333e-09	-0.00264429	-0.00273808
27	1	8.65385	8.65385	20.166	-1.34201e-08	-0.00264426	-0.00273812
28	1	8.65385	8.65385	20.166	-1.71155e-08	-0.00264428	-0.00273813
29	8.38406e-08	8.65385	8.65385	20.166	-1.44088e-08	-0.00264425	-0.0027381
30	1.2935e-07	8.65385	8.65385	20.166	-1.84993e-08	-0.00264427	-0.00273813
31	2.24188e-07	8.65385	8.65385	20.166	-1.61693e-08	-0.00264427	-0.00273812
32	1.80084e-07	8.65385	8.65385	20.166	-1.97246e-08	-0.00264428	-0.0027381
33	2.36993e-07	8.65385	8.65385	20.166	-1.79031e-08	-0.00264425	-0.0027381
